Date,Index
1/15/1990,47.2
2/15/1990,49.1
3/15/1990,49.9
4/15/1990,50
5/15/1990,49.5
6/15/1990,49.2
7/15/1990,46.6
8/15/1990,46.1
9/15/1990,44.5
10/15/1990,43.2
11/15/1990,41.3
12/15/1990,40.8
1/15/1991,39.2
2/15/1991,39.4
3/15/1991,40.7
4/15/1991,42.8
5/15/1991,44.5
6/15/1991,50.3
7/15/1991,50.6
8/15/1991,52.9
9/15/1991,54.9
10/15/1991,53.1
11/15/1991,49.5
12/15/1991,46.8
1/15/1992,47.3
2/15/1992,52.7
3/15/1992,54.6
4/15/1992,52.6
5/15/1992,55.7
6/15/1992,53.6
7/15/1992,53.9
8/15/1992,53.4
9/15/1992,49.7
10/15/1992,50.3
11/15/1992,53.6
12/15/1992,54.2
1/15/1993,55.8
2/15/1993,55.2
3/15/1993,53.5
4/15/1993,50.2
5/15/1993,51.2
6/15/1993,49.6
7/15/1993,50.2
8/15/1993,50.7
9/15/1993,50.8
10/15/1993,53.4
11/15/1993,53.8
12/15/1993,55.6
1/15/1994,56
2/15/1994,56.5
3/15/1994,56.9
4/15/1994,57.4
5/15/1994,58.2
6/15/1994,58.8
7/15/1994,58.5
8/15/1994,58
9/15/1994,59
10/15/1994,59.4
11/15/1994,59.2
12/15/1994,56.1
1/15/1995,57.4
2/15/1995,55.1
3/15/1995,52.1
4/15/1995,51.5
5/15/1995,46.7
6/15/1995,45.9
7/15/1995,50.7
8/15/1995,47.1
9/15/1995,48.1
10/15/1995,46.7
11/15/1995,45.9
12/15/1995,46.2
1/15/1996,45.5
2/15/1996,45.9
3/15/1996,46.9
4/15/1996,49.3
5/15/1996,49.1
6/15/1996,53.6
7/15/1996,49.7
8/15/1996,51.6
9/15/1996,51.1
10/15/1996,50.5
11/15/1996,53
12/15/1996,55.2
1/15/1997,53.8
2/15/1997,53.1
3/15/1997,53.8
4/15/1997,53.7
5/15/1997,56.1
6/15/1997,54.9
7/15/1997,57.7
8/15/1997,56.3
9/15/1997,53.9
10/15/1997,56.4
11/15/1997,55.7
12/15/1997,54.5
1/15/1998,53.8
2/15/1998,52.9
3/15/1998,52.9
4/15/1998,52.2
5/15/1998,50.9
6/15/1998,48.9
7/15/1998,49.2
8/15/1998,49.3
9/15/1998,48.7
10/15/1998,48.7
11/15/1998,48.2
12/15/1998,46.8
1/15/1999,50.6
2/15/1999,51.7
3/15/1999,52.4
4/15/1999,52.3
5/15/1999,54.3
6/15/1999,55.8
7/15/1999,53.6
8/15/1999,54.8
9/15/1999,57
10/15/1999,57.2
11/15/1999,58.1
12/15/1999,57.8
1/15/2000,56.7
2/15/2000,55.8
3/15/2000,54.9
4/15/2000,54.7
5/15/2000,53.2
6/15/2000,51.4
7/15/2000,52.5
8/15/2000,49.9
9/15/2000,49.7
10/15/2000,48.7
11/15/2000,48.5
12/15/2000,43.9
1/15/2001,42.3
2/15/2001,42.1
3/15/2001,43.1
4/15/2001,42.7
5/15/2001,41.3
6/15/2001,43.2
7/15/2001,43.5
8/15/2001,46.3
9/15/2001,46.2
10/15/2001,40.8
11/15/2001,44.1
12/15/2001,45.3
1/15/2002,47.5
2/15/2002,50.7
3/15/2002,52.4
4/15/2002,52.4
5/15/2002,53.1
6/15/2002,53.6
7/15/2002,50.2
8/15/2002,50.3
9/15/2002,50.5
10/15/2002,49
11/15/2002,48.5
12/15/2002,51.6
1/15/2003,51.3
2/15/2003,48.8
3/15/2003,46.3
4/15/2003,46.1
5/15/2003,49
6/15/2003,49
7/15/2003,51
8/15/2003,53.2
9/15/2003,52.4
10/15/2003,55.2
11/15/2003,58.4
12/15/2003,60.1
1/15/2004,60.8
2/15/2004,59.9
3/15/2004,60.6
4/15/2004,60.6
5/15/2004,61.4
6/15/2004,60.5
7/15/2004,59.9
8/15/2004,58.5
9/15/2004,57.4
10/15/2004,56.3
11/15/2004,56.2
12/15/2004,57.2
1/15/2005,56.8
2/15/2005,55.5
3/15/2005,55.2
4/15/2005,52.2
5/15/2005,50.8
6/15/2005,52.4
7/15/2005,52.8
8/15/2005,52.4
9/15/2005,56.8
10/15/2005,57.2
11/15/2005,56.7
12/15/2005,55.1
1/15/2006,55
2/15/2006,55.8
3/15/2006,54.3
4/15/2006,55.2
5/15/2006,53.7
6/15/2006,52
7/15/2006,53
8/15/2006,53.7
9/15/2006,52.2
10/15/2006,51.4
11/15/2006,50.3
12/15/2006,51.4
1/15/2007,50.4
2/15/2007,54.1
3/15/2007,52.8
4/15/2007,52.7
5/15/2007,53.1
6/15/2007,54
7/15/2007,51.8
8/15/2007,52.2
9/15/2007,53.8
10/15/2007,52.8
11/15/2007,51.5
12/15/2007,50.1
1/15/2008,50.9
2/15/2008,48.8
3/15/2008,49.7
4/15/2008,48.5
5/15/2008,48.9
6/15/2008,49.9
7/15/2008,50.8
8/15/2008,50.1
9/15/2008,47.2
10/15/2008,38.2
11/15/2008,39
12/15/2008,34.5
1/15/2009,36.4
2/15/2009,36.6
3/15/2009,37.2
4/15/2009,39.9
5/15/2009,44.1
6/15/2009,46.3
7/15/2009,49.7
8/15/2009,53.4
9/15/2009,54.9
10/15/2009,57.6
11/15/2009,55.4
12/15/2009,55.8
1/15/2010,56.3
2/15/2010,55.5
3/15/2010,58.8
4/15/2010,58.1
5/15/2010,57.4
6/15/2010,56.5
7/15/2010,56.1
8/15/2010,56.4
9/15/2010,55.3
10/15/2010,56.9
11/15/2010,57.3
12/15/2010,56.6
1/15/2011,59.1
2/15/2011,59.2
3/15/2011,58.4
4/15/2011,57.9
5/15/2011,54.8
6/15/2011,55.8
7/15/2011,52.9
8/15/2011,52.6
9/15/2011,53.7
10/15/2011,51.4
11/15/2011,51.8
12/15/2011,53
1/15/2012,53.2
2/15/2012,52.6
3/15/2012,53.5
4/15/2012,54.2
5/15/2012,52.6
6/15/2012,48.9
7/15/2012,50.2
8/15/2012,49.4
9/15/2012,51.2
10/15/2012,51
11/15/2012,49.1
12/15/2012,50.4
1/15/2013,52.3
2/15/2013,53.5
3/15/2013,51.5
4/15/2013,50.4
5/15/2013,50.6
6/15/2013,50.8
7/15/2013,54.5
8/15/2013,54.8
9/15/2013,55
10/15/2013,55.1
11/15/2013,56.4
12/15/2013,56.6
1/15/2014,51.8
2/15/2014,54.4
3/15/2014,55.5
4/15/2014,55.9
5/15/2014,55.7
6/15/2014,54.9
7/15/2014,55.6
8/15/2014,56.8
9/15/2014,56.1
10/15/2014,56.6
11/15/2014,56.8
12/15/2014,55.6
1/15/2015,53.6
2/15/2015,52.7
3/15/2015,51.9
4/15/2015,51.9
5/15/2015,52.6
6/15/2015,52.6
7/15/2015,52.2
8/15/2015,50.4
9/15/2015,50.1
10/15/2015,49.3
11/15/2015,49.5
12/15/2015,48.8
1/15/2016,47
2/15/2016,49.1
3/15/2016,51
4/15/2016,51
5/15/2016,51.3
6/15/2016,52.5
7/15/2016,52.5
8/15/2016,50
9/15/2016,51.2
10/15/2016,52
11/15/2016,53.4
12/15/2016,54.4
1/15/2017,55.3
2/15/2017,57.4
3/15/2017,56.4
4/15/2017,55.5
5/15/2017,56.4
6/15/2017,56.4
7/15/2017,56.8
8/15/2017,58.8
9/15/2017,59.9
10/15/2017,58.8
11/15/2017,58.1
12/15/2017,59.1
1/15/2018,59.2
2/15/2018,60.6
3/15/2018,58.9
4/15/2018,58.4
5/15/2018,59
6/15/2018,59.9
7/15/2018,58.2
8/15/2018,60.8
9/15/2018,59.3
10/15/2018,58.5
11/15/2018,58.8
12/15/2018,55
1/15/2019,55.5
2/15/2019,54.1
3/15/2019,54.6
4/15/2019,53.4
5/15/2019,52.3
6/15/2019,51.6
7/15/2019,51.3
8/15/2019,48.8
9/15/2019,48.2
10/15/2019,48.5
11/15/2019,48.1
12/15/2019,47.8
1/15/2020,50.9
2/15/2020,50.1
3/15/2020,49.1
4/15/2020,41.5
5/15/2020,43.1
6/15/2020,52.6
